AREA,PERIMETER,PR_,PR_ID,RINGS_OK,RINGS_NOK,WRSPR,PR,PATH,ROW,MODE,DAYCLASS,SEQUENCE
2.6322,6.50375,2532,2532,1,0,159052,159052,159,52,D,16,55108
2.61978,6.48745,2533,2533,1,0,159053,159053,159,53,D,16,55109
2.60932,6.47369,2534,2534,1,0,159054,159054,159,54,D,16,55110
2.63205,6.50355,2532,2532,1,0,160052,160052,160,52,D,7,22620
2.61985,6.48753,2533,2533,1,0,160053,160053,160,53,D,7,22621
2.60932,6.47369,2534,2534,1,0,160054,160054,160,54,D,7,22622
2.60054,6.46216,2535,2535,1,0,160055,160055,160,55,D,7,22623
2.59336,6.45274,2536,2536,1,0,160056,160056,160,56,D,7,22624
2.58777,6.4454,2537,2537,1,0,160057,160057,160,57,D,7,22625
2.58388,6.44029,2538,2538,1,0,160058,160058,160,58,D,7,22626
2.64601,6.52191,2531,2531,1,0,161051,161051,161,51,D,14,47915
2.63214,6.50367,2532,2532,1,0,161052,161052,161,52,D,14,47916
2.61978,6.48745,2533,2533,1,0,161053,161053,161,53,D,14,47917
2.60941,6.47381,2534,2534,1,0,161054,161054,161,54,D,14,47918
2.60054,6.46216,2535,2535,1,0,161055,161055,161,55,D,14,47919
2.59336,6.45274,2536,2536,1,0,161056,161056,161,56,D,14,47920
2.58786,6.44552,2537,2537,1,0,161057,161057,161,57,D,14,47921
2.58388,6.44029,2538,2538,1,0,161058,161058,161,58,D,14,47922
2.58146,6.43712,2539,2539,1,0,161059,161059,161,59,D,14,47923
2.6461,6.52203,2531,2531,1,0,162051,162051,162,51,D,5,15427
2.6322,6.50375,2532,2532,1,0,162052,162052,162,52,D,5,15428
2.61985,6.48753,2533,2533,1,0,162053,162053,162,53,D,5,15429
2.60932,6.47369,2534,2534,1,0,162054,162054,162,54,D,5,15430
2.60054,6.46216,2535,2535,1,0,162055,162055,162,55,D,5,15431
2.59333,6.4527,2536,2536,1,0,162056,162056,162,56,D,5,15432
2.58783,6.44548,2537,2537,1,0,162057,162057,162,57,D,5,15433
2.58388,6.44029,2538,2538,1,0,162058,162058,162,58,D,5,15434
2.58143,6.43708,2539,2539,1,0,162059,162059,162,59,D,5,15435
2.58068,6.43609,2540,2540,1,0,162060,162060,162,60,D,5,15436
2.6461,6.52203,2283,2283,1,0,163051,163051,163,51,D,12,40723
2.63205,6.50355,2284,2284,1,0,163052,163052,163,52,D,12,40724
2.61985,6.48753,2285,2285,1,0,163053,163053,163,53,D,12,40725
2.60932,6.47369,2286,2286,1,0,163054,163054,163,54,D,12,40726
2.60047,6.46208,2287,2287,1,0,163055,163055,163,55,D,12,40727
2.59336,6.45274,2288,2288,1,0,163056,163056,163,56,D,12,40728
2.58786,6.44552,2289,2289,1,0,163057,163057,163,57,D,12,40729
2.58388,6.44029,2290,2290,1,0,163058,163058,163,58,D,12,40730
2.58152,6.4372,2291,2291,1,0,163059,163059,163,59,D,12,40731
2.58068,6.43609,2292,2292,1,0,163060,163060,163,60,D,12,40732
2.58137,6.437,2293,2293,1,0,163061,163061,163,61,D,12,40733
2.58388,6.44029,2294,2294,1,0,163062,163062,163,62,D,12,40734
2.63204,6.50356,2300,2300,1,0,163068,163068,163,68,D,12,40740
2.64601,6.52191,2301,2301,1,0,163069,163069,163,69,D,12,40741
2.66169,6.54257,2302,2302,1,0,163070,163070,163,70,D,12,40742
2.67929,6.56573,2303,2303,1,0,163071,163071,163,71,D,12,40743
2.69875,6.59136,2304,2304,1,0,163072,163072,163,72,D,12,40744
2.64601,6.52191,2283,2283,1,0,164051,164051,164,51,D,3,8235
2.6322,6.50375,2284,2284,1,0,164052,164052,164,52,D,3,8236
2.61978,6.48745,2285,2285,1,0,164053,164053,164,53,D,3,8237
2.60932,6.47369,2286,2286,1,0,164054,164054,164,54,D,3,8238
2.60054,6.46216,2287,2287,1,0,164055,164055,164,55,D,3,8239
2.59336,6.45274,2288,2288,1,0,164056,164056,164,56,D,3,8240
2.58777,6.4454,2289,2289,1,0,164057,164057,164,57,D,3,8241
2.58388,6.44029,2290,2290,1,0,164058,164058,164,58,D,3,8242
2.58137,6.437,2291,2291,1,0,164059,164059,164,59,D,3,8243
2.58068,6.43609,2292,2292,1,0,164060,164060,164,60,D,3,8244
2.58152,6.4372,2293,2293,1,0,164061,164061,164,61,D,3,8245
2.58388,6.44029,2294,2294,1,0,164062,164062,164,62,D,3,8246
2.58775,6.44537,2295,2295,1,0,164063,164063,164,63,D,3,8247
